finalserialno	serial	a01	a02	a03	m02_1	m02_2	m02_3	m02_4	m02_5	m02_6	b01	b02	b04	b05	b0601	b0602	b0603	b0604	b0605	b0606	b0607	b0608	b0609	b0610	b0611	b0612	b0613	b0614	b0615	b0616	b0617	b0618	b0619	b06a	b07	b09	b12_1	b12_2	b12_3	b12_4	b12_5	b12_6	b13_1	b13_2	b13_3	b13_4	b13_5	b13_6	c01	c02_1	c02_2	c02_3	c02_4	d01	d02	d03	d04	f01_1	f01_2	f01_3	f01_4	f01_5	f01_6	f01_7	f01_8	f01_9	f01_10	f01_11	f01_12	f2	e01	g01_1	g01_2	g01_3	g01_4	g01_5	g01_6	g01_7	g01_8	h01	i01_1	i01_2	i01_3	i01_4	i01_5	i01_6	i01_7	j05	j06	j01	j08	j10	j11	j12	k01	k02	k03	k11	k1201	k1202	k1203	k1204	k1205	k1206	k1207	k1208	k1209	k1210	k1211	k1212	k13	k14_1_01	k14_1_02	k14_1_03	k14_1_04	k14_1_05	k14_2_01	k14_2_02	k14_2_03	k14_2_04	k14_2_05	k14_3_01	k14_3_02	k14_3_03	k14_3_04	k14_3_05	k14_4_01	k14_4_02	k14_4_03	k14_4_04	k14_4_05	k14_5_01	k14_5_02	k14_5_03	k14_5_04	k14_5_05	k14_6_01	k14_6_02	k14_6_03	k14_6_04	k14_6_05	k14_7_01	k14_7_02	k14_7_03	k14_7_04	k14_7_05	k14_8_01	k14_8_02	k14_8_03	k14_8_04	k14_8_05	l01	l02	l03	l04	l09	m01	n04a	n03	p01	p02	p03_1	p03_2	p03_3	p03_4	p03_5	p03_6	p03_7	p03_8	p03a	p03b	p04_01	p04_02	p04_03	p04_04	p04_05	p04_06	p04_07	p04_08	p04_09	p04_10	q01_1	q01_2	q01_3	q01_4	q01_5	q02_1	q02_2	q03_1	q03_2	q03_3	r03	r04	r05	r05a	s01_1	s01_2	s01_3	s01_4	s01_5	s01_6	s01_7	q11	q12	t01_1	t01_2	t02	u01	u03	u05	v01	v04	v05	v06	w01	w02	w03	w08	w09	w11	w12	w13_1	w13_2	w15_1	w15_2	w15_3	r6	x01_1	x01_2	x01_3	x01_4	x01_5	x01_6	x2	x3	k06	k08	y01	y03	y04_01	y04_02	y04_03	y04_04	y04_05	y06	y07	y08	y09	y10_banded	Age	y11	y12a	education	y17	y17a	y18	y18a	y22	y23	y24	y25	y26	y45	y46a	y47	y48_1	y48_2	y48_3	y48_4	y48_5	y48_6	followup1	followup2	q1_cses	q2_cses_1	q2_cses_2	q2_cses_3	q2_cses_4	q2_cses_5	q2_cses_6	q2_cses_7	q2_cses_8	q3_cses_1	q3_cses_2	q3_cses_3	q3_cses_4	q3_cses_5	q4_cses_1	q4_cses_2	q4_cses_3	q4_cses_4	q4_cses_5	q5_cses	q6_cses	q7_cses	q8_cses	q9_cses_1	q9_cses_2	q9_cses_3	q9_cses_4	q9_cses_5	q9_cses_6	q9_cses_7	q10_cses_1	q10_cses_2	q10_cses_3	q10_cses_4	q10_cses_5	q10_cses_6	q10_cses_7	q11_cses_1	q11_cses_2	q11_cses_3	q11_cses_4	q11_cses_5	q11_cses_6	q11_cses_7	q12_cses_1	q12_cses_2	q12_cses_3	q12_cses_4	q12_cses_5	q13_cses	q14_cses	q15_cses	q16_cses	q17_cses	q18_cses	q19_cses	q20_cses	q21_cses	q22_1_cses	q22_2_cses	q22_3_cses	q24_cses	q25_cses	region	recontact	agency	Constit_Name	Constit_Code	pano	Interview_Date	total_num_dwel	total_num_hous	num_elig_people	nr_calls_1st	reissue	nr_calls_reissue	sel_wt_capped	wt_demog	wt_demog_cses	wt_vote	wt_vote_valid	edlevel	turnoutValidationReg	validatedTurnoutBinary	ns_sec	ns_sec_analytic	seg	sc	mii_coded	msoa11	imddecile
10115	000000399	nhs	1	2	4	4	3	2	4	4	1	1	 	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	4	3	1	1	3	4	2	2	2	2	2	1	1	5	1	1	3	1	 	 	2	2	3	1	4	3	2	4	4	5	4	1	3	1	3	7	2	6	-1	2	-1	 	 	5	 	 	8	6	5	-2	-2	2	1	7	1	1	1	4	8	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	4	4	5	2	1	4	2	2	0	10	5	4	10	5	 	 	4	1	0	1	0	0	1	0	1	0	0	0	1	2	1	 	 	2	1	2	1	3	4	5	5	1	2	9	6	0	5	 	 	2	2	5	5	0	2	3	2	1	3	 	 	2	 	2	11	1	1	1	2	3	3	1	2	2	-1	-1	1	-1	1	2	5	2	1	2	3	2	0	0	0	1	0	0	 	3	2	1	21	1	2	0	1	 	 	 	2	1	 	 	3	1	1	1	1	0	0	0	0	0	1	1	3	3	2	2	5	2	2	4	2	3	4	2	4	4	3	3	3	2	3	2	3	-1	 	10	3	3	10	 	 	2	2	5	5	5	5	 	 	0	8	7	0	7	 	 	3	2	3	4	3	1	4	5	1	 	2	2	1	2	1	0	0	2	21	East Midlands	2	1	Ashfield	E14000535	19	06/09/2017	1	1	2	4	0	0	1.121963692	1.54704350068873	2.41422408293244	1.11075282986254	1.17808635514222	0	1	1	122	60	70	32	1	E02005823	2
10119	000000398	brexit	0	2	3	1	4	4	3	4	1	1	 	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	4	4	2	1	4	4	1	1	2	4	2	2	1	1	5	5	1	1	 	 	3	5	5	5	5	1	2	4	5	5	5	5	5	3	0	10	0	0	0	-1	-1	 	 	5	 	 	6	5	-2	-2	0	1	1	4	1	1	1	4	5	2	 	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	2	4	3	3	0	2	1	6	3	2	3	0	0	0	0	0	 	 	5	2	0	0	0	0	0	0	0	0	1	0	1	2	3	 	 	2	1	2	2	-1	3	4	4	1	5	6	4	0	3	 	 	1	1	5	2	0	1	3	-1	2	2	 	 	2	 	2	1	1	2	1	2	6	5	1	1	5	1	-1	2	-1	1	2	5	-1	2	2	2	3	0	1	0	0	0	14	8	3	1	4	53	9	1	12	8	 	1	1	2	1	 	 	3	1	1	2	1	0	0	0	0	0	1	2	2	1	1	3	1	5	1	1	2	1	5	2	5	5	3	4	4	1	3	-1	3	2	 	3	0	3	10	 	 	5	0	0	0	0	0	 	 	3	4	3	0	3	 	 	5	5	5	1	-1	1	4	4	2	1	5	-1	1	1	1	0	0	1	53	East Midlands	2	1	Ashfield	E14000535	19	06/09/2017	1	1	1	4	0	0	.560981846	.732664100108577	.942403555813736	.561521114259241	.745447635099398	1	1	1	134	70	110	50	15	E02005823	2
10125	000000400	society	-1	2	4	4	4	4	4	2	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	1	4	2	2	3	2	1	1	2	1	2	1	2	1	2	4	2	-2	-1	 	 	2	4	4	4	2	-1	-1	-1	-1	-1	5	5	1	5	8	9	8	8	-1	-1	 	 	5	 	 	3	5	3	-2	-2	1	1	5	2	1	2	3	4	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	4	2	2	1	2	2	4	2	1	10	7	10	-1	-1	-1	 	 	10	2	0	0	0	0	0	0	0	0	1	0	2	2	2	 	 	1	2	1	2	2	3	3	4	1	8	5	0	6	0	 	 	2	1	1	1	5	1	3	8	2	3	 	 	2	 	2	11	11	1	1	1	5	4	3	2	3	1	2	2	-1	-1	-1	5	3	2	2	3	1	0	0	0	1	0	0	 	3	1	5	56	1	2	0	2	 	 	 	 	 	2	1	4	1	2	1	1	0	0	0	0	0	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	East Midlands	2	1	Ashfield	E14000535	19	06/09/2017	1	1	1	4	0	0	.560981846	.606639714157024	 	.840834781747337	 	0	 	 	81	40	21	50	6	E02005823	2
10215	000000347	immigration	-1	2	4	5	5	5	5	4	1	1	 	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	1	4	2	2	4	4	3	3	3	3	2	2	1	1	4	5	2	1	 	 	1	1	5	5	5	5	5	5	5	5	5	5	5	1	6	5	6	6	6	6	5	 	 	0	 	 	4	3	2	1	3	1	1	1	1	1	1	4	8	1	9	2	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	2	2	2	2	4	3	2	1	2	1	5	5	5	4	4	0	 	 	10	2	0	0	0	0	0	0	0	0	1	0	3	2	3	 	 	1	2	2	3	3	1	1	1	1	0	0	0	0	0	 	 	1	3	5	4	0	2	3	2	2	1	 	 	2	 	2	1	1	2	2	4	4	3	1	2	3	1	1	-1	-1	-1	2	5	2	2	2	9	1	0	0	0	1	0	1	8	3	2	6	65	1	2	0	11	 	1	1	2	2	 	 	1	1	1	3	0	1	0	0	0	0	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	East Midlands	2	1	Ashfield	E14000535	19	24/08/2017	1	1	2	1	0	0	1.121963692	1.11047080165219	 	.919754800604644	.909509817707942	0	1	1	111	50	90	32	12	E02005830	5
10216	000000349	brexit	1	2	3	2	2	2	2	3	1	1	 	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	4	4	1	1	4	4	1	1	2	3	1	1	1	1	4	5	1	1	 	 	1	1	3	4	5	1	3	4	4	4	5	1	4	1	2	8	1	10	7	-1	9	 	 	5	 	 	10	0	7	7	0	2	2	7	1	1	1	1	9	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	2	2	-1	-1	0	1	1	4	3	2	0	8	2	1	10	0	 	 	2	1	0	1	0	0	0	0	0	0	0	0	1	2	2	 	 	2	1	2	3	3	4	4	1	1	0	10	2	0	2	 	 	1	2	2	5	0	2	1	2	2	5	 	 	2	 	2	1	1	2	1	1	6	1	1	1	3	1	1	2	1	1	2	5	2	1	1	10	1	0	0	0	1	0	1	8	3	2	6	68	1	1	4	11	 	1	1	1	2	 	 	1	1	1	1	0	1	0	0	0	0	1	1	1	2	3	2	2	3	5	2	3	2	-1	1	5	5	3	4	4	1	1	3	4	1	1	10	1	5	10	 	 	3	9	1	3	7	3	 	 	0	10	5	0	5	 	 	5	1	3	3	3	1	5	5	1	 	2	1	1	2	1	0	0	2	68	East Midlands	2	1	Ashfield	E14000535	19	24/08/2017	1	1	2	1	0	0	1.121963692	.767432351649132	.455734691836049	.651745286901378	.578811598805464	4	1	1	41	20	51	20	15	E02005830	5
10217	000000374	getting brexit sorted	-1	2	2	4	2	2	3	2	1	1	 	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	2	3	2	1	2	2	2	2	2	1	2	2	2	1	4	5	2	-1	2	 	 	3	2	3	3	-1	-1	-1	2	4	4	1	3	-1	4	7	4	6	-1	-1	-1	 	 	6	 	 	6	5	5	5	-2	2	3	5	3	1	2	3	6	1	5	2	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	0	0	 	 	 	 	 	3	3	-1	-1	4	2	1	4	3	2	4	6	5	3	10	-1	 	 	3	1	0	1	0	0	0	0	1	0	0	0	3	3	3	 	 	3	3	2	2	-1	4	4	4	3	5	5	5	1	5	 	 	2	-1	4	5	5	2	3	4	1	3	 	 	4	1	1	10	10	1	1	2	2	2	2	2	2	1	2	2	-1	1	2	5	-1	2	1	-1	2	1	0	0	0	0	1	3	3	2	2	34	1	1	1	8	 	1	1	1	2	 	 	1	1	1	1	0	0	1	0	0	0	1	2	2	2	3	4	3	4	4	4	4	5	5	2	5	5	4	4	4	2	4	3	-1	1	-1	6	4	4	8	 	 	3	6	4	5	7	4	 	 	5	6	6	0	6	 	 	5	3	5	1	5	2	4	4	2	2	 	 	1	2	1	0	0	2	34	East Midlands	2	1	Ashfield	E14000535	19	30/08/2017	1	1	2	2	0	0	1.121963692	1.09544430655614	.918464175447731	.844501416833825	.948421103529224	5	1	1	41	20	51	20	15	E02005830	5
10218	000000423	brexit	2	2	4	3	5	2	4	2	1	2	 	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	2	2	2	2	2	2	4	4	4	4	4	4	1	1	5	5	3	2	 	 	2	4	1	5	5	2	5	1	2	5	4	5	5	2	7	10	8	0	0	0	0	 	 	6	 	 	0	10	7	7	7	1	2	7	3	1	2	4	8	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	2	3	2	2	7	2	2	10	3	2	2	3	3	3	3	3	 	 	10	2	0	0	0	0	0	0	0	0	1	0	2	3	2	 	 	1	2	2	2	3	3	3	5	3	10	0	0	0	0	 	 	1	1	5	5	0	1	3	3	2	2	 	 	2	 	2	1	1	2	2	1	7	2	5	2	4	1	1	2	-1	1	-1	5	3	2	2	-1	1	0	0	0	1	0	1	8	3	2	7	83	1	2	0	11	 	1	1	2	2	 	 	1	1	1	2	1	0	0	0	0	0	1	1	2	2	4	4	1	5	1	5	5	1	1	1	5	3	1	1	1	1	1	4	2	1	2	10	0	-1	-1	 	 	-1	10	10	10	10	10	 	 	10	0	5	1	1	 	 	5	5	5	1	5	5	5	5	1	 	1	2	1	2	1	0	0	2	83	East Midlands	2	1	Ashfield	E14000535	19	12/09/2017	1	1	2	2	0	0	1.121963692	1.27208489424157	1.08998973889351	1.15372581129023	1.22270395691172	0	1	1	122	60	70	32	15	E02005830	5
10220	000000448	brexit	-1	2	4	4	4	4	4	4	1	7	 	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	1	 	3	3	1	1	4	2	3	3	3	4	2	2	1	1	5	3	1	7	 	 	2	1	5	5	5	5	3	3	3	3	4	5	5	3	5	5	2	-1	-1	2	-1	 	 	10	 	 	0	5	4	3	3	1	2	1	2	1	2	-1	10	1	12	2	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	2	2	2	2	0	3	2	3	2	1	0	0	-1	-1	5	-1	 	 	10	2	0	0	0	0	0	0	0	0	1	0	2	2	-1	 	 	3	2	2	2	2	4	4	5	1	6	0	3	8	0	 	 	1	1	4	1	0	4	3	3	1	2	 	 	1	 	1	-1	-1	1	1	1	5	5	3	4	4	-1	-1	2	-1	-1	2	5	8	1	1	-1	1	0	0	0	1	0	1	8	3	1	6	66	1	2	0	11	 	1	2	 	 	1	 	1	1	1	3	1	0	0	0	0	0	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	East Midlands	2	1	Ashfield	E14000535	19	18/09/2017	1	1	2	3	0	0	1.121963692	1.22401860388443	 	1.01346575988269	1.58824548242667	0	1	1	91	40	120	32	15	E02005830	5
10225	000000348	defence	2	3	3	3	3	2	2	2	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	2	-1	3	-1	3	3	3	4	4	-1	4	4	1	1	2	4	4	2	 	 	2	2	4	2	2	3	2	2	2	4	4	4	4	2	6	5	7	5	1	1	4	 	 	7	 	 	2	8	5	-2	5	1	2	3	2	2	2	3	4	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	7	1	1	8	3	1	5	5	6	-1	5	-1	 	 	5	2	0	0	0	0	0	0	0	0	1	0	3	3	3	 	 	1	2	1	2	-1	3	-1	2	3	9	0	0	0	0	 	 	2	1	5	2	0	0	3	3	2	1	 	 	4	1	1	2	2	1	1	3	5	5	1	5	2	1	1	2	-1	1	2	5	3	2	1	4	1	0	0	0	1	0	1	8	3	1	6	66	1	2	0	4	 	 	 	 	 	1	 	1	1	1	1	0	1	0	0	0	0	1	2	3	3	2	4	4	4	2	2	4	2	1	2	4	3	3	4	4	2	2	3	2	1	2	8	3	-1	0	 	 	3	5	-1	-1	-1	-1	 	 	7	3	-1	3	5	 	 	4	4	4	-1	4	2	4	5	1	 	1	2	1	2	1	0	0	2	64	East Midlands	2	1	Ashfield	E14000535	19	24/08/2017	1	1	2	1	0	0	1.121963692	1.22401860388443	1.27682040480719	1.7244577964888	1.30559603138145	0	2	0	91	40	120	32	23	E02005830	5
10308	000001426	imigration and the nhs, number of people putting pressure on resorses	2	3	-1	3	4	4	5	3	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-1	 	-1	4	-1	-1	3	3	-1	-1	-1	-1	2	-1	2	2	2	2	4	2	 	 	3	3	3	3	5	-1	3	2	4	4	4	5	5	-1	-1	5	-1	-1	-1	-1	-1	 	 	7	 	 	5	5	-1	-2	-1	1	1	1	2	1	4	3	1	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	1	0	1	0	0	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	2	2	2	9	2	1	3	1	1	8	7	-1	-1	10	-1	 	 	10	2	0	1	0	0	0	0	0	0	0	0	3	3	-1	 	 	1	2	-1	2	-1	3	-1	2	-1	8	1	0	0	0	 	 	2	-1	4	2	5	0	3	1	-1	3	 	 	4	-1	-1	2	2	-1	-1	2	6	3	2	2	2	1	-1	2	-1	1	-1	2	3	2	1	12	2	0	1	0	0	0	0	 	3	2	3	42	1	1	9	3	 	 	 	2	1	 	 	1	1	1	1	1	0	0	0	0	0	1	1	3	3	3	3	4	2	2	2	2	1	3	3	2	2	1	1	1	1	1	2	3	-1	 	-1	-1	-1	-1	 	 	-1	10	10	10	10	10	 	 	6	5	3	1	3	 	 	4	4	5	2	5	3	4	1	2	2	 	 	1	2	1	0	0	2	42	East Midlands	1	2	Bassetlaw	E14000546	35	18/07/2017	1	1	1	4	0	0	.560981846	.660179572721892	1.12418665536209	.83151152986019	1.01847269441333	3	2	0	121	60	60	31	12	E02005839	5
